47,Bob Dylan,Hurricane,0,['Am' 'C' 'Dm' 'Em' 'F' 'G']
48,Bob Dylan,It Aint Me Babe,0,['Am' 'Bm' 'C' 'D' 'G']
49,Bob Dylan,The Times They Are A-Changin,0,['Am' 'C' 'D' 'D6' 'D7' 'Em' 'G']
50,Celine Dion,My Heart Will Go On,0,['A' 'Ab' 'B' 'C#m' 'Db' 'E' 'Eb' 'F' 'Fm']
51,Johnny Cash,I Walk The Line,0,['A' 'D' 'E7']
52,Creedence Clearwater Revival,Bad Moon Rising,0,['A' 'D' 'G']
53,Counting Crows,Mr Jones,0,['Am' 'C' 'Dm' 'F' 'Fmaj7' 'G']
54,The Beatles,All My Loving,4,['A' 'Abaug' 'Am' 'B' 'Bb' 'C' 'C#m' 'Caug' 'D' 'Dm' 'E' 'F' 'F#m' 'G']
55,The Beatles,Help,0,['A' 'A6' 'Bm' 'C#m' 'D' 'E' 'F#m' 'G' 'G/F#']
56,The Beatles,Hey Jude,0,['Bb' 'C' 'C6' 'C7' 'C7sus4' 'Csus4' 'Eb' 'F' 'F6' 'F7' 'Fmaj7' 'Gm' 'Gm7']
57,The Beatles,If I Fell,0,['A' 'A7' 'Bbm' 'D' 'D9' 'Db' 'Ebm' 'Em' 'Em7' 'F#m' 'G' 'Gm']
58,The Beatles,Oh Darling,0,['A' 'A7' 'B7' 'Bb7' 'Bm7' 'D' 'E' 'E7' 'F#m' 'F7']
59,The Beatles,Youve Got To Hide Your Love Away,0,['C' 'D' 'Dsus2' 'Dsus4' 'Fadd9' 'G']
60,The Beatles,Come Together,0,['A' 'A7' 'Bm' 'Dm' 'G' 'G7']
61,The Beatles,Let It Be,0,['Am' 'Bb' 'C' 'Dm' 'F' 'F6' 'Fmaj7' 'G']
62,The Beatles,While My Guitar Gently Weeps,0,['A' 'Am' 'Bm' 'C' 'C#m' 'D' 'E' 'F#m' 'F#m7b5' 'Fmaj7' 'G']
63,The Beatles,Yesterday,0,['A7' 'Bb' 'C' 'C7' 'Dm' 'Em7' 'F' 'G7' 'Gm']
64,Bon Jovi,Always,0,['A' 'B' 'C#' 'C#m' 'D' 'E' 'G']
65,Backstreet Boys,I Want It That Way,2,['A' 'Am' 'B' 'Bsus4' 'C' 'D' 'Dsus2' 'Dsus4' 'E' 'Em' 'Em7' 'F#m' 'G']
66,Backstreet Boys,I Want It That Way,0,['A' 'B' 'C#' 'D' 'E' 'F#' 'F#m' 'G#m']
