,predicted,start,end
191,C,191.757866057927,192.7793365308748
192,Em,192.7793365308748,193.2436412913056
193,D,193.2436412913056,193.5686546236072
194,C,193.5686546236072,193.9865289079949
195,Em,193.9865289079949,194.45083366842573
196,G,194.45083366842573,195.7973174736751
197,Em,195.7973174736751,197.93311937165686
198,D,197.93311937165686,198.53671556021692
199,G,198.53671556021692,199.6046165092078
200,Em,199.6046165092078,199.92962984150935
201,G,199.92962984150935,202.71545840409425
202,D,202.71545840409425,203.04047173639583
203,Em,203.04047173639583,203.27262411661124
204,G,203.27262411661124,203.96908125725747
205,Em,203.96908125725747,204.75839934998984
206,G,204.75839934998984,205.45485649063608
207,Em,205.45485649063608,207.49779743653167
208,D,207.49779743653167,207.86924124487632
209,Em,207.86924124487632,210.23719552307347
210,C,210.23719552307347,212.6980107533568
211,G,212.6980107533568,213.02302408565836
212,C,213.02302408565836,213.4408983700461
213,G,213.4408983700461,214.18378598673542
214,D,214.18378598673542,214.88024312738165
215,C,214.88024312738165,216.78389264514797
216,G,216.78389264514797,217.20176692953572
217,D,217.20176692953572,218.68754216291433
218,G,218.68754216291433,219.19827739938822
219,C,219.19827739938822,220.17331739629293
220,D,220.17331739629293,220.5447612046376
221,C,220.5447612046376,221.19478786924074
222,D,221.19478786924074,222.26268881823162
223,G,222.26268881823162,222.95914595887783
224,D,222.95914595887783,223.23772881513634
225,G,223.23772881513634,223.98061643182564
226,D,223.98061643182564,224.3520602401703
227,C,224.3520602401703,224.63064309642877
228,D,224.63064309642877,228.58723356009068
